path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;words
post1950/fiction_mem/burlak/xraniteli;Вадим Бурлак;муж;1949;Хранители древних тайн;2001;публицистика | нехудожественная;;очерк;путешествия|история|астрология, парапсихология, эзотерика;;нейтральный;н-возраст;н-уровень;большая;Вадим Бурлак. Хранители древних тайн. М.: Вагриус, 2001;Вадим Бурлак. Хранители древних тайн;Вагриус;2001;книга;ПК письменных текстов;none;83794
post1950/zakharov/xx/shcheglov/ranevsk;Алексей Щеглов;муж;1939;Фаина Раневская: вся жизнь;2003;публицистика | нехудожественная;;биография;;Россия: 1-я пол. XX в;нейтральный;н-возраст;н-уровень;большая;Алексей Щеглов. Фаина Раневская. Вся жизнь. М.: Захаров, 2003;Алексей Щеглов. Фаина Раневская. Вся жизнь;Захаров;2003;книга;ПК письменных текстов;none;83612
post1950/fiction_mem/fedorova_n/fedorova;Нина Федорова;жен;1895;Семья [автоперевод];1952;художественная;нежанровая проза;;;Дальний Восток: 1-я пол. XX в;нейтральный;н-возраст;н-уровень;большая;Роман-газета, 1992, №10;Роман-газета;;1992;книга;ПК письменных текстов;none;83333
post1950/fiction_mem/musatov/sobr_s01;А. И. Мусатов;муж;1911;Большая весна;1957;художественная;детская;повесть;;Россия/СССР: советский период;нейтральный;подростковый;н-уровень;очень большая;Собрание сочинений в 3-х томах. Т. I. М.: Детская литература, 1976;Собрание сочинений в 3-х томах. Т. 3;Детская литература;1978;книга;ПК письменных текстов;none;83283
post1950/minor_publ/eksmo/ustinova/podruga;Татьяна Устинова;жен;1968;Подруга особого назначения;2003;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;очень большая;Татьяна Устинова. Подруга особого назначения. - М.: Эксмо, 2003;Татьяна Устинова. Подруга особого назначения;ЭКСМО;2003;книга;ПК письменных текстов;none;83232
post1950/vagr/vagr1/ivanov/geograph;Алексей Иванов;муж;1969;Географ глобус пропил;2002;художественная;нежанровая проза;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Алексей Иванов. Географ глобус пропил. М.: Вагриус, 2003;Алексей Иванов. Географ глобус пропил;Вагриус;2003;книга;ПК письменных текстов;none;83187
post1950/fiction_mem/groshek/zavtrak;Иржи Грошек;муж;1958;Легкий завтрак в тени некрополя;1998;художественная;нежанровая проза;роман;;ирреальный мир;нейтральный;н-возраст;н-уровень;большая;Иржи Грошек. Легкий завтрак в тени некрополя._СПб: Азбука-классика 2003;Иржи Грошек. Легкий завтрак в тени некрополя;Азбука-классика;2003;книга;ПК письменных текстов;none;83072
post1950/zhur_russru/october/pisigin;Валерий Писигин;муж;;Письма с Чукотки;2001;публицистика | нехудожественная;;очерк|цикл;политика и общественная жизнь|путешествия;;нейтральный;н-возраст;н-уровень;большая;«Октябрь», 2001, №1;«Октябрь»;;2001;журнал;ПК письменных текстов;none;82708
post1950/vagr/masslit/docenko/srok;Виктор Доценко;муж;1946;Срок для Бешеного;1993;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Виктор Доценко. Срок для Бешеного. М.: Вагриус, 2000;Виктор Доценко. Срок для Бешеного;Вагриус;2000;книга;ПК письменных текстов;none;82490
post1950/vagr/vagr4/troshev/voina;Геннадий Трошев;муж;1947;Моя война;2000-2001;публицистика | нехудожественная;;мемуары;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Геннадий Трошев. Моя война. _ М.: «Вагриус», 2001;Геннадий Трошев. Моя война;Вагриус;2001;книга;ПК письменных текстов;none;82442
post1950/fiction_mem/trifonov/vremya_i_mesto;Ю. В. Трифонов;муж;1925;Время и место;1980;художественная;документальная проза;роман;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;очень большая;Трифонов Ю. В. Собр. соч.: В 4-х томах. Том четвертый. М., «Художественная литература», 1987;Трифонов Ю. В. Собр. соч.: В 4-х томах. Том четвертый;«Художественная литература»;1987;книга;ПК письменных текстов;none;82368
post1950/vagr/vagr1/vasilyev/vsl_tom1_2;Борис Васильев;муж;1924;Картежник и бретер, игрок и дуэлянт;1998;художественная;историческая проза;роман;;Россия: XIX век;нейтральный;н-возраст;н-уровень;большая;Васильев Б. Картежник и бретер, игрок и дуэлянт. - М.: Вагриус, 1999;Васильев Б. Картежник и бретер, игрок и дуэлянт;Вагриус;1999;книга;ПК письменных текстов;none;82264
post1950/vagr/masslit/rybin/igra;Алексей Рыбин;муж;;Последняя игра;2000;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Алексей Рыбин. Последняя игра. М.: Вагриус, 2000;Алексей Рыбин. Последняя игра;Вагриус;2000;книга;ПК письменных текстов;none;81506
post1950/minor_publ/eksmo/dontsova/dollars;Дарья Донцова;жен;1952;Доллары царя Гороха;2004;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;очень большая;Дарья Донцова. Доллары царя Гороха. - М.: Эксмо, 2004;Дарья Донцова. Доллары царя Гороха;ЭКСМО;2004;книга;ПК письменных текстов;none;80936
post1950/fiction_mem/dudintcev/belye_3;Владимир Дудинцев;муж;1918;Белые одежды / Третья часть;1987;художественная;нежанровая проза;роман;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;очень большая;Дудинцев В. Белые одежды. - М.: Советский писатель, 1988 - www.lib.ru/PROZA/DUDINCEW/odezhdy.xhtml;Дудинцев В. Белые одежды;Советский писатель;1988;книга;ПК письменных текстов;none;80876
post1950/fiction_mem/frumkina/naiskosok;Р. М. Фрумкина;жен;1931;О нас – наискосок;1995;публицистика | нехудожественная;;мемуары;;Россия/СССР: советский период|Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Фрумкина Р. М. О нас _ наискосок. _ М.: Русские словари, 1997;Фрумкина Р. М. О нас _ наискосок;Русские словари;1997;книга;ПК письменных текстов;none;80834
post1950/vagr/vagr1/bykov/znak;Василь Быков;муж;1924;Знак беды;1982;художественная;нежанровая проза;повесть;;Россия/СССР: 1941-1945;нейтральный;н-возраст;н-уровень;большая;Василь Быков. Бедные люди. М.: Вагриус, 2002;Василь Быков. «Бедные люди»;Вагриус;2002;книга;ПК письменных текстов;none;80586
post1950/fiction_mem/marinina/lik;Александра Маринина;жен;1957;Светлый лик смерти;1996;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Александра Маринина. Светлый лик смерти. М.: ЭКСМО, 2004;Александра Маринина. Светлый лик смерти;ЭКСМО;2004;книга;ПК письменных текстов;none;80584
post1950/fiction_mem/panteleev_ai/masha;А. И. Пантелеев;муж;1908;Наша Маша;1966;публицистика | нехудожественная;нежанровая проза;дневник, записные книжки;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;очень большая;Пантелеев А. И. Наша Маша: Книга для родителей // Собр. соч.: В 4 т. Т. 4. Л.: «Детская литература», 1984;Собр. соч.: В 4 т. Т. 4;«Детская литература»;1984;книга;ПК письменных текстов;none;80356
post1950/vagr/vagr7/molchanov/dolshe;Владимир Молчанов|Консуэло Сегура;муж|жен;1950;И дольше века...;1999-2003;публицистика | нехудожественная;;интервью|цикл;политика и общественная жизнь|искусство и культура;;нейтральный;н-возраст;н-уровень;большая;Владимир Молчанов, Консуэло Сегура. И дольше века... - М.: Вагриус, 2004;Владимир Молчанов, Консуэло Сегура. И дольше века...;Вагриус;2004;книга;ПК письменных текстов;none;80089
